Year,Month,Date,Open,High,Low,Close,Adj Close,Volume
2008,11,11/1/08,1117.130005,1217.819946,914.02002,1076.069946,1076.069946,11203400
2008,12,12/1/08,1074,1201.140015,997,1124.469971,1124.469971,10433700
2009,1,1/1/09,1132.869995,1228.560059,1085.719971,1162.109985,1162.109985,7225900
2009,2,2/1/09,1145.869995,1227.72998,1036.670044,1063.030029,1063.030029,10348600
2009,3,3/1/09,1044.280029,1256.699951,992.690002,1206.26001,1206.26001,11494900
2009,4,4/1/09,1214.060059,1377.819946,1201.709961,1369.359985,1369.359985,16145400
2009,5,5/1/09,1386.02002,1436.920044,1315.209961,1395.890015,1395.890015,13628700
2009,6,6/1/09,1394.920044,1437.76001,1350.310059,1390.069946,1390.069946,11062500
2009,7,7/1/09,1386.329956,1559.069946,1377.599976,1557.290039,1557.290039,10660600
2009,8,8/1/09,1561.939941,1616.290039,1530.650024,1591.849976,1591.849976,10753100
2009,9,9/1/09,1592.290039,1723.170044,1583.109985,1673.140015,1673.140015,10569800
2009,10,10/1/09,1680.459961,1685.01001,1564.410034,1580.689941,1580.689941,7699700
2009,11,11/1/09,1543.23999,1630.410034,1519.400024,1555.599976,1555.599976,5911800
2009,12,12/1/09,1550.349976,1695.329956,1541.089966,1682.77002,1682.77002,7371200
2010,1,1/1/10,1681.709961,1723.219971,1595.390015,1602.430054,1602.430054,9198300
2010,2,2/1/10,1603.869995,1631.709961,1548.780029,1594.579956,1594.579956,7218400
2010,3,3/1/10,1612.430054,1705.569946,1608.969971,1692.849976,1692.849976,9195100
2010,4,4/1/10,1695.300049,1757.76001,1695.300049,1741.560059,1741.560059,9306300
2010,5,5/1/10,1735.680054,1740.150024,1532.680054,1641.25,1641.25,7575800
2010,6,6/1/10,1634.550049,1741.47998,1618.569946,1698.290039,1698.290039,7103700
2010,7,7/1/10,1687,1778.719971,1650.300049,1759.329956,1759.329956,8048100
2010,8,8/1/10,1771.380005,1797.420044,1716.859985,1742.75,1742.75,7286300
2010,9,9/1/10,1751.959961,1873.790039,1748.300049,1872.810059,1872.810059,6323600
2010,10,10/1/10,1872.390015,1924.609985,1837.079956,1882.949951,1882.949951,7793900
2010,11,11/1/10,1889.569946,1976.459961,1875.339966,1904.630005,1904.630005,7769000
2010,12,12/1/10,1907.699951,2052.969971,1904.709961,2051,2051,8778600
2011,1,1/1/11,2063.689941,2121.060059,2054.830078,2069.72998,2069.72998,8198300
2011,2,2/1/11,2079.919922,2107.830078,1935.930054,1939.300049,1939.300049,5355000
2011,3,3/1/11,1922.380005,2106.73999,1882.089966,2106.699951,2106.699951,6619100
2011,4,4/1/11,2107.669922,2231.469971,2081.97998,2192.360107,2192.360107,7719600
2011,5,5/1/11,2203.090088,2229.090088,2030.680054,2142.469971,2142.469971,6219900
2011,6,6/1/11,2142.669922,2152.949951,2008.839966,2100.689941,2100.689941,5472900
2011,7,7/1/11,2120.030029,2192.830078,2105.23999,2133.209961,2133.209961,6595300
2011,8,8/1/11,2160.090088,2173.280029,1684.680054,1880.109985,1880.109985,9610200
2011,9,9/1/11,1887.209961,1928.400024,1644.109985,1769.650024,1769.650024,7688900
2011,10,10/1/11,1683.939941,1963.73999,1658.060059,1909.030029,1909.030029,7305500
2011,11,11/1/11,1891.219971,1932.949951,1766.72998,1847.51001,1847.51001,7829800
2011,12,12/1/11,1911.5,1929.180054,1750.599976,1825.73999,1825.73999,9118700
2012,1,1/1/12,1831.689941,1973.349976,1810.47998,1955.790039,1955.790039,8596100
2012,2,2/1/12,1948.569946,2047.430054,1947.459961,2030.25,2030.25,13201900
2012,3,3/1/12,2041.52002,2057.280029,1966.689941,2014.040039,2014.040039,10434600
2012,4,4/1/12,2022.420044,2051.800049,1954.01001,1981.98999,1981.98999,10647200
2012,5,5/1/12,1994.170044,2001.109985,1779.469971,1843.469971,1843.469971,10022300
2012,6,6/1/12,1832.079956,1908.189941,1776.849976,1854.01001,1854.01001,7462600
2012,7,7/1/12,1864.72998,1896.829956,1758.98999,1881.98999,1881.98999,8280500
2012,8,8/1/12,1870.579956,1964.069946,1843.869995,1905.119995,1905.119995,9802800
2012,9,9/1/12,1909.060059,2012.73999,1873.48999,1996.209961,1996.209961,15066400
2012,10,10/1/12,1998.52002,2007.839966,1884.77002,1912.060059,1912.060059,10136500
2012,11,11/1/12,1903.569946,1941.839966,1856.810059,1932.900024,1932.900024,9848800
2012,12,12/1/12,1937.280029,2006.079956,1928.089966,1997.050049,1997.050049,7146900
2013,1,1/1/13,2013.73999,2042.47998,1930.369995,1961.939941,1961.939941,10904500
2013,2,2/1/13,1964.75,2030.849976,1928.75,2026.48999,2026.48999,7307600
2013,3,3/1/13,2028.550049,2033.890015,1946.050049,2004.890015,2004.890015,6856600
2013,4,4/1/13,2009.939941,2010.150024,1888.300049,1963.949951,1963.949951,7694700
2013,5,5/1/13,1961.670044,2013.290039,1935.569946,2001.050049,2001.050049,6587000
2013,6,6/1/13,1993.109985,2000.560059,1770.530029,1863.319946,1863.319946,5605500
2013,7,7/1/13,1851.569946,1920.599976,1809.719971,1914.030029,1914.030029,7603800
2013,8,8/1/13,1916.560059,1939.280029,1838.52002,1926.359985,1926.359985,7040000
2013,9,9/1/13,1925.319946,2018.02002,1921.01001,1996.959961,1996.959961,5085200
2013,10,10/1/13,1997.619995,2063.280029,1981.209961,2030.089966,2030.089966,5704900
2013,11,11/1/13,2037.25,2050.699951,1963.420044,2044.869995,2044.869995,6103900
2013,12,12/1/13,2050.449951,2052.879883,1947.439941,2011.339966,2011.339966,4603600
2014,1,1/1/14,2013.109985,2013.890015,1899.76001,1941.150024,1941.150024,5094900
2014,2,2/1/14,1930.089966,1981.150024,1885.530029,1979.98999,1979.98999,4482200
2014,3,3/1/14,1967.900024,1989.800049,1913.640015,1985.609985,1985.609985,4969800
2014,4,4/1/14,1983.780029,2013.089966,1955.150024,1961.790039,1961.790039,4689600
2014,5,5/1/14,1966.290039,2022.589966,1934.719971,1994.959961,1994.959961,4285500
2014,6,6/1/14,1998.810059,2016.780029,1965.119995,2002.209961,2002.209961,4602000
2014,7,7/1/14,1993.290039,2093.080078,1985.530029,2076.120117,2076.120117,6982900
2014,8,8/1/14,2063.709961,2088.860107,2026.560059,2068.540039,2068.540039,6081500
2014,9,9/1/14,2067.800049,2072.590088,2007.300049,2020.089966,2020.089966,6542100
2014,10,10/1/14,2013.469971,2013.469971,1896.540039,1964.430054,1964.430054,7389300
2014,11,11/1/14,1959.660034,1994.819946,1923.050049,1980.780029,1980.780029,6296700
2014,12,12/1/14,1971.949951,1990.040039,1881.72998,1915.589966,1915.589966,6712800
2015,1,1/1/15,1914.23999,1964.130005,1876.27002,1949.26001,1949.26001,6845600
2015,2,2/1/15,1947.910034,1993.430054,1932.75,1985.800049,1985.800049,5913300
2015,3,3/1/15,1996.719971,2047.130005,1969.130005,2041.030029,2041.030029,8511800
2015,4,4/1/15,2035.400024,2189.540039,2024.640015,2127.169922,2127.169922,11582800
2015,5,5/1/15,2134.51001,2148.699951,2067.98999,2114.800049,2114.800049,7388600
2015,6,6/1/15,2110.120117,2110.879883,2008.459961,2074.199951,2074.199951,9174900
2015,7,7/1/15,2077.27002,2110.810059,1983.780029,2030.160034,2030.160034,13372100
2015,8,8/1/15,2026.25,2038.410034,1800.75,1941.48999,1941.48999,8369000
2015,9,9/1/15,1934.439941,1996.469971,1868.47998,1962.810059,1962.810059,10051700
2015,10,10/1/15,1963.550049,2064.719971,1958.630005,2029.469971,2029.469971,13186500
2015,11,11/1/15,2033.150024,2056.120117,1942.849976,1991.969971,1991.969971,8998800
2015,12,12/1/15,2001.51001,2026.329956,1919.219971,1961.310059,1961.310059,9508000
2016,1,1/1/16,1954.469971,1954.52002,1830.060059,1912.060059,1912.060059,7301400
2016,2,2/1/16,1919.619995,1929.530029,1817.969971,1916.660034,1916.660034,6189400
2016,3,3/1/16,1944.27002,2009.099976,1935.550049,1995.849976,1995.849976,7747500
2016,4,4/1/16,1994.77002,2023.77002,1954.109985,1994.150024,1994.150024,7973500
2016,5,5/1/16,1991.839966,1991.839966,1937.670044,1983.400024,1983.400024,9650600
2016,6,6/1/16,1976.869995,2035.27002,1892.75,1970.349976,1970.349976,9815300
2016,7,7/1/16,1977.359985,2030.689941,1944.329956,2016.189941,2016.189941,8068000
2016,8,8/1/16,2024.709961,2063.090088,1993,2034.650024,2034.650024,7805400
