Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,383.809998,477.339996,383.559998,472.950012,472.950012,11297600
2005-02-01,477.459991,519.200012,461.769989,498.380005,498.380005,9510900
2005-03-01,501.880005,507.500000,444.209991,455.029999,455.029999,9211600
2005-04-01,453.350006,467.579987,420.119995,424.399994,424.399994,8594100
2005-05-01,426.880005,471.540009,423.290009,471.480011,471.480011,12184700
2005-06-01,470.329987,503.209991,468.290009,503.209991,503.209991,13449000
2005-07-01,502.829987,553.830017,502.829987,546.679993,546.679993,14990900
2005-08-01,548.729980,549.500000,492.049988,503.950012,503.950012,12998900
2005-09-01,508.100006,573.760010,508.100006,571.950012,571.950012,10913800
2005-10-01,576.679993,615.650024,566.789978,587.460022,587.460022,13020700
2005-11-01,589.780029,712.390015,589.780029,712.390015,712.390015,15682200
2005-12-01,716.440002,753.020020,671.789978,701.789978,701.789978,17035800
2006-01-01,710.159973,760.729980,571.820007,690.239990,690.239990,15325200
2006-02-01,684.440002,686.900024,624.440002,682.359985,682.359985,12950700
2006-03-01,684.979980,685.909973,632.099976,665.210022,665.210022,13395700
2006-04-01,670.960022,713.580017,670.880005,685.440002,685.440002,12195400
2006-05-01,685.890015,696.929993,620.169983,630.500000,630.500000,9405500
2006-06-01,627.979980,631.830017,551.030029,590.679993,590.679993,7957500
2006-07-01,592.000000,595.469971,539.799988,557.659973,557.659973,8167500
2006-08-01,557.010010,573.059998,543.500000,572.830017,572.830017,8694900
2006-09-01,574.510010,620.599976,573.530029,600.419983,600.419983,11244900
2006-10-01,600.919983,601.619995,533.849976,586.099976,586.099976,10394800
2006-11-01,591.000000,622.250000,589.640015,622.169983,622.169983,13179500
2006-12-01,623.489990,624.039978,588.119995,606.150024,606.150024,11126900
2007-01-01,610.030029,613.380005,569.989990,576.369995,576.369995,14043200
2007-02-01,580.030029,616.640015,578.869995,600.929993,600.929993,11330100
2007-03-01,599.200012,651.549988,594.030029,648.989990,648.989990,15664000
2007-04-01,651.530029,699.530029,650.380005,675.880005,675.880005,16573100
2007-05-01,680.260010,748.039978,677.520020,747.869995,747.869995,12608700
2007-06-01,754.070007,828.080017,738.940002,778.690002,778.690002,12873500
2007-07-01,781.419983,841.090027,779.400024,811.520020,811.520020,10947400
2007-08-01,807.659973,817.539978,669.299988,775.130005,775.130005,13734500
2007-09-01,783.489990,799.109985,753.320007,794.559998,794.559998,11737600
