Weekday,Month,Day,Date,Price,Open,High,Low,Vol.,Change %,Volume
FRI,2,11,2/11/22,51792000,53004000,53222000,51157000,1.47K,-2.29%,1470
THUR,2,10,2/10/22,53004000,53551000,55280000,52586000,1.69K,-1.02%,1690
WED,2,9,2/9/22,53551000,53710000,53977000,52500000,1.28K,-0.27%,1280
TUE,2,8,2/8/22,53698000,53462000,55269000,52222000,1.53K,0.42%,1530
MON,2,7,2/7/22,53471000,51745000,54059000,51046000,1.39K,3.34%,1390
SUN,2,6,2/6/22,51745000,50734000,52000000,50367000,0.83K,1.99%,830
SAT,2,5,2/5/22,50734000,50604000,51383000,50163000,0.69K,0.26%,690
FRI,2,4,2/4/22,50604000,45750000,50778000,45430000,1.45K,10.60%,1450
THUR,2,3,2/3/22,45754000,45429000,45804000,44726000,1.17K,0.70%,1170
WED,2,2,2/2/22,45437000,47773000,47873000,45351000,1.50K,-4.87%,1500
TUE,2,1,2/1/22,47762000,47194000,48152000,46857000,1.65K,1.15%,1650
MON,1,31,1/31/22,47219000,47178000,47578000,45531000,0.68K,0.08%,680
SUN,1,30,1/30/22,47180000,47200000,47484000,46517000,0.45K,-0.04%,450
SAT,1,29,1/29/22,47200000,46632000,47672000,46120000,0.46K,1.27%,460
FRI,1,28,1/28/22,46606000,45750000,46843000,45024000,0.67K,1.82%,670
THUR,1,27,1/27/22,45775000,45026000,45784000,43697000,0.96K,1.66%,960
WED,1,26,1/26/22,45026000,44868000,47384000,44404000,1.89K,0.34%,1890
TUE,1,25,1/25/22,44872000,44726000,45467000,43440000,1.20K,0.33%,1200
MON,1,24,1/24/22,44726000,44272000,45534000,40813000,2.64K,1.03%,2640
SUN,1,23,1/23/22,44272000,43452000,44502000,42715000,0.82K,1.89%,820
SAT,1,22,1/22/22,43452000,45242000,45503000,42666000,1.41K,-3.92%,1410
FRI,1,21,1/21/22,45225000,49656000,49945000,44499000,2.03K,-8.94%,2030
THUR,1,20,1/20/22,49665000,50236000,52273000,49562000,1.36K,-1.14%,1360
WED,1,19,1/19/22,50237000,51132000,51350000,49884000,0.59K,-1.75%,590
TUE,1,18,1/18/22,51132000,51454000,51594000,50156000,1.21K,-0.58%,1210
MON,1,17,1/17/22,51430000,52079000,52228000,50761000,0.94K,-1.25%,940
SUN,1,16,1/16/22,52079000,52303000,52530000,51888000,0.60K,-0.43%,600
SAT,1,15,1/15/22,52302000,52219000,52843000,51820000,0.39K,0.11%,390
FRI,1,14,1/14/22,52247000,51756000,52650000,51000000,0.60K,0.98%,600
THUR,1,13,1/13/22,51739000,53338000,53877000,51690000,1.23K,-3.06%,1230
WED,1,12,1/12/22,53373000,52334000,53859000,51680000,0.56K,1.99%,560
TUE,1,11,1/11/22,52334000,51187000,52497000,50399000,1.01K,2.29%,1010
MON,1,10,1/10/22,51163000,51700000,51960000,48868000,0.83K,-1.03%,830
SUN,1,9,1/9/22,51694000,52141000,52615000,51053000,0.54K,-0.86%,540
SAT,1,8,1/8/22,52141000,51356000,52661000,50772000,0.61K,1.53%,610
FRI,1,7,1/7/22,51356000,53245000,53341000,50739000,0.41K,-3.55%,410
THUR,1,6,1/6/22,53245000,53773000,54237000,52357000,0.41K,-1.01%,410
WED,1,5,1/5/22,53788000,56030000,57059000,52730000,1.22K,-4.00%,1220
TUE,1,4,1/4/22,56030000,56617000,57649000,55900000,0.43K,-1.05%,430
MON,1,3,1/3/22,56626000,57496000,57764000,56011000,0.41K,-1.51%,410
SUN,1,2,1/2/22,57496000,57988000,58198000,57100000,0.22K,-0.85%,220
SAT,1,1,1/1/22,57989000,56686000,58279000,56643000,0.51K,2.38%,510
