Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,11543.000000,11992.309570,11543.000000,11992.309570,11992.309570,0
1985-02-01,11946.959961,12321.919922,11823.429688,12321.919922,12321.919922,0
1985-03-01,12412.139648,12604.019531,12263.849609,12580.759766,12580.759766,0
1985-04-01,12677.150391,12683.259766,12052.820313,12426.290039,12426.290039,0
1985-05-01,12456.650391,12790.269531,12358.030273,12758.459961,12758.459961,0
1985-06-01,12473.410156,12910.290039,12473.410156,12882.089844,12882.089844,0
1985-07-01,12919.030273,13029.650391,12232.269531,12232.269531,12232.269531,0
1985-08-01,12538.339844,12734.049805,12326.709961,12713.150391,12713.150391,0
1985-09-01,12726.639648,12755.599609,12453.849609,12700.110352,12700.110352,0
1985-10-01,12685.360352,13055.519531,12685.360352,12936.469727,12936.469727,0
1985-11-01,12808.099609,12892.400391,12589.509766,12763.269531,12763.269531,0
1985-12-01,12796.919922,13128.940430,12774.549805,13083.179688,13083.179688,0
1986-01-01,13053.790039,13056.419922,12881.500000,13024.299805,13024.299805,0
1986-02-01,13086.469727,13642.139648,13086.469727,13640.830078,13640.830078,0
1986-03-01,13757.629883,15859.750000,13757.629883,15859.750000,15859.750000,0
1986-04-01,15745.870117,15827.280273,15014.059570,15825.500000,15825.500000,0
1986-05-01,15782.650391,16670.769531,15689.980469,16670.769531,16670.769531,0
1986-06-01,16739.269531,17654.189453,16669.539063,17654.189453,17654.189453,0
1986-07-01,17622.740234,18050.589844,17469.820313,17509.710938,17509.710938,0
1986-08-01,17321.929688,18936.240234,17263.099609,18533.679688,18533.679688,0
1986-09-01,18820.750000,18820.750000,17336.619141,17852.859375,17852.859375,0
1986-10-01,17564.390625,17650.230469,15819.549805,16910.630859,16910.630859,0
1986-11-01,16902.000000,18326.000000,16713.710938,18326.000000,18326.000000,0
1986-12-01,18307.980469,18933.070313,18190.970703,18701.000000,18701.000000,0
1987-01-01,18820.550781,20048.349609,18544.050781,20024.000000,20024.000000,0
1987-02-01,20072.089844,20767.000000,19457.000000,20767.000000,20767.000000,0
